antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),"frozenset({'368c6c730842d78016ad823897a372db', '389d119b48cf3043d311335e499d9c6b'})",0.08752327746741155,0.004655493482309125,0.00186219739292365,0.02127659574468085,4.5702127659574465,1.0,0.0014547333451237824,1.0169824305724233,0.8561224489795918,0.020618556701030927,0.016698843620006766,0.2106382978723404
frozenset({'389d119b48cf3043d311335e499d9c6b'}),"frozenset({'368c6c730842d78016ad823897a372db', '53759a2ecddad2bb87a079a1f1519f73'})",0.08193668528864059,0.0074487895716946,0.00186219739292365,0.022727272727272728,3.0511363636363638,1.0,0.0012518682660064015,1.0156337967173357,0.7322515212981744,0.02127659574468085,0.015393143441923931,0.13636363636363635
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.08752327746741155,0.09683426443202979,0.006517690875232775,0.07446808510638298,0.769026186579378,1.0,-0.0019575613190044704,0.9758342430274621,-0.2476420267602545,0.03664921465968586,-0.024764202676025443,0.07088788870703765
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.09683426443202979,0.08752327746741155,0.006517690875232775,0.06730769230769232,0.7690261865793782,1.0,-0.0019575613190044704,0.9783255581792701,-0.2495579133510169,0.03664921465968586,-0.022154631083202505,0.07088788870703765
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.0297951582867784,0.08193668528864059,0.00186219739292365,0.0625,0.7627840909090909,1.0,-0.0005791191147453436,0.9792675356921167,-0.24273255813953484,0.01694915254237288,-0.021171399594320486,0.04261363636363637
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.08193668528864059,0.0297951582867784,0.00186219739292365,0.022727272727272728,0.7627840909090909,1.0,-0.0005791191147453436,0.9927677450088779,-0.253030303030303,0.01694915254237288,-0.007284941545978013,0.04261363636363637
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.0297951582867784,0.08752327746741155,0.00186219739292365,0.0625,0.714095744680851,1.0,-0.0007455725129955025,0.9733085040347611,-0.2921195652173914,0.016129032258064516,-0.027423469387755105,0.04188829787234043
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.08752327746741155,0.0297951582867784,0.00186219739292365,0.02127659574468085,0.714095744680851,1.0,-0.0007455725129955025,0.991296251315683,-0.3049645390070923,0.016129032258064516,-0.008780169069302079,0.04188829787234043
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.0297951582867784,0.09683426443202979,0.002793296089385475,0.09375,0.9681490384615385,1.0,-9.18961469506081e-05,0.996596673730174,-0.03279702970297018,0.022556390977443608,-0.003414948453608242,0.06129807692307693
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.09683426443202979,0.0297951582867784,0.002793296089385475,0.028846153846153848,0.9681490384615385,1.0,-9.18961469506081e-05,0.9990228073086639,-0.035145888594164336,0.022556390977443608,-0.0009781485309316384,0.06129807692307693
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.08100558659217877,0.0297951582867784,0.00186219739292365,0.022988505747126436,0.771551724137931,1.0,-0.0005513768817036505,0.9930331909300033,-0.24367816091954025,0.017094017094017096,-0.007015686014957972,0.04274425287356322
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.0297951582867784,0.08100558659217877,0.00186219739292365,0.0625,0.771551724137931,1.0,-0.0005513768817036505,0.9802607076350093,-0.23382352941176468,0.017094017094017096,-0.02013677811550152,0.04274425287356322
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.08752327746741155,0.08193668528864059,0.008379888268156424,0.09574468085106383,1.1685203094777563,1.0,0.001208521026878756,1.0152700186219739,0.15804988662131517,0.05202312138728324,0.015040352164343363,0.09900870406189555
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.08193668528864059,0.08752327746741155,0.008379888268156424,0.10227272727272728,1.1685203094777563,1.0,0.001208521026878756,1.0164297668717441,0.15708812260536398,0.05202312138728324,0.016164192949907237,0.09900870406189555
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.09683426443202979,0.08193668528864059,0.010242085661080074,0.10576923076923077,1.2908653846153846,1.0,0.0023078070111558456,1.026651448709477,0.24948453608247426,0.06077348066298343,0.02595958807926354,0.11538461538461539
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.08193668528864059,0.09683426443202979,0.010242085661080074,0.125,1.2908653846153846,1.0,0.0023078070111558456,1.0321894120776802,0.24543610547667347,0.06077348066298343,0.031185567010309286,0.11538461538461539
